score_contour,level_pair,correlation,mean_abs_latitude_separation,n_longitudes
65.0,1000-850,0.4292812337368316,2.965850657059161,301
65.0,1000-500,0.5407607880990563,2.9800256459895134,301
65.0,1000-250,0.11953221622120061,5.506059471152148,301
65.0,850-500,0.11940708520307579,5.335236395534799,301
65.0,850-250,-0.1801568173158178,7.816457654024969,301
65.0,500-250,0.664384197575656,3.3723860829930916,301
70.0,1000-850,0.4535876463724746,3.482512331939218,301
70.0,1000-500,0.6514248813339513,3.6928958772662464,301
70.0,1000-250,0.1874609949035997,4.559574336023551,301
70.0,850-500,0.11100523533857255,5.441780459125395,301
70.0,850-250,-0.11588135456187255,7.427623332448171,301
70.0,500-250,0.5883428416951131,3.8803833871204954,301
75.0,1000-850,0.4303342974499221,4.824482714181595,301
75.0,1000-500,0.6558794926827143,3.7016662802497438,301
75.0,1000-250,0.23330450716058346,3.4484641165251455,301
75.0,850-500,0.42557392022834906,4.6803538818110395,301
75.0,850-250,-0.17539695226918156,7.321715253452397,301
75.0,500-250,0.5225855521303968,3.7560347701019907,301
80.0,1000-850,-0.6001700600219371,7.4094884994745165,301
80.0,1000-500,0.4791321157096729,4.076061132201526,301
80.0,1000-250,0.4259189855382334,2.345656977088436,301
80.0,850-500,-0.13445129248280044,6.6543598712166965,301
80.0,850-250,0.20978260615280092,6.132186443077117,301
80.0,500-250,0.04057543056223614,4.741177358453934,301
85.0,1000-850,0.610794544039884,3.581532014887069,207
85.0,1000-500,-0.1595534116844417,8.662802550211502,226
85.0,1000-250,0.10111800166713426,5.892339325888345,290
85.0,850-500,-0.4958660314858719,10.716558689707771,154
85.0,850-250,-0.44029492382301105,9.54521278428664,218
85.0,500-250,-0.475095394344865,5.346001757713659,237
90.0,1000-850,nan,nan,0
90.0,1000-500,nan,nan,0
90.0,1000-250,nan,nan,0
90.0,850-500,nan,nan,0
90.0,850-250,nan,15.359928324813685,6
90.0,500-250,-0.533049508543995,6.324941786849931,184
95.0,1000-850,nan,nan,0
95.0,1000-500,nan,nan,0
95.0,1000-250,nan,nan,0
95.0,850-500,nan,nan,0
95.0,850-250,nan,nan,0
95.0,500-250,-0.30300061129126815,6.02078428250081,96
