contour_line_index,score_contour,contour_segment,vertex_count,sample_count,resolved_sample_count,unresolved_sample_count,used_arclength_fallback,total_two_nearest_distance_degrees,mean_two_nearest_distance_degrees,median_two_nearest_distance_degrees,unique_first_neighbor_line_count,unique_second_neighbor_line_count,pressure_level_hpa
10,15.0,0,1227,882,882,0,False,4729.744987517595,5.362522661584575,4.682396292686462,3,3,500.0
11,15.0,1,461,412,412,0,False,2908.8270983994007,7.060259947571361,7.172879576683044,3,4,500.0
12,15.0,2,235,175,175,0,False,3544.5290212631226,20.254451550074986,16.295248985290527,3,4,500.0
13,15.0,3,1743,1371,1371,0,False,13911.951438307762,10.147302289064742,8.117642879486084,4,5,500.0
14,20.0,0,1866,1440,1440,0,False,9757.806292772293,6.776254369980759,5.044498085975647,3,5,500.0
15,20.0,1,1780,1440,1440,0,False,11084.062559843063,7.697265666557683,7.030194401741028,3,4,500.0
16,20.0,2,37,20,20,0,False,288.4087767601013,14.420438838005065,14.62411880493164,1,1,500.0
17,20.0,3,337,234,234,0,False,3565.4648542404175,15.237029291625715,13.573647260665894,2,4,500.0
18,25.0,0,2175,1496,1496,0,False,9457.44997549057,6.321824849926852,4.638359189033508,2,6,500.0
19,25.0,1,1802,1440,1440,0,False,9938.874971151352,6.901996507743994,6.21817672252655,2,3,500.0
20,30.0,0,2102,1454,1454,0,False,8938.112830400467,6.147257792572535,4.3945870995521545,2,4,500.0
21,30.0,1,1824,1440,1440,0,False,8588.041086792946,5.96391742138399,5.679604887962341,2,3,500.0
22,35.0,0,2024,1440,1440,0,False,8623.817555904388,5.988762191600269,4.515730142593384,2,4,500.0
23,35.0,1,1824,1440,1440,0,False,7839.572768211365,5.444147755702336,5.429457664489746,2,2,500.0
24,40.0,0,1926,1440,1440,0,False,8432.556564569473,5.855942058728801,4.944227814674377,2,4,500.0
25,40.0,1,1814,1440,1440,0,False,8251.417841911316,5.730151279105081,5.4783103466033936,2,3,500.0
26,45.0,0,1834,1440,1440,0,False,8937.616986870766,6.206678463104699,5.84622597694397,2,3,500.0
27,45.0,1,1794,1440,1440,0,False,9872.802388906479,6.856112770073944,5.957294225692749,2,3,500.0
28,50.0,0,2056,1584,1584,0,False,13086.323933005333,8.261568139523568,7.105033278465271,2,4,500.0
29,50.0,1,1788,1440,1440,0,False,11271.946972727776,7.827740953283177,7.67319393157959,2,4,500.0
30,55.0,0,2097,1508,1508,0,False,12688.32621562481,8.414009426806903,7.5601818561553955,2,4,500.0
31,55.0,1,1772,1440,1440,0,False,12269.893846988678,8.52075961596436,7.647873759269714,2,4,500.0
32,60.0,0,2048,1500,1500,0,False,12906.541069746017,8.604360713164011,8.024005770683289,2,3,500.0
33,60.0,1,1792,1440,1440,0,False,12007.233607053757,8.338356671565109,8.28923225402832,2,3,500.0
34,65.0,0,1809,1440,1440,0,False,12667.267340660095,8.796713431013956,7.497049331665039,2,4,500.0
35,65.0,1,1766,1440,1440,0,False,11283.2357442379,7.835580377942986,7.471322059631348,2,3,500.0
36,70.0,0,1881,1440,1440,0,False,12154.345943450928,8.440518016285367,7.735708594322205,2,3,500.0
37,70.0,1,1741,1440,1440,0,False,10837.47813642025,7.526026483625174,6.487086176872253,2,2,500.0
38,75.0,0,1902,1440,1440,0,False,11350.39240193367,7.882216945787271,7.217966914176941,2,2,500.0
39,75.0,1,1720,1440,1440,0,False,10459.28696846962,7.263393728103902,6.411396622657776,2,2,500.0
40,80.0,0,1904,1440,1440,0,False,12955.601086139679,8.99694519870811,9.006666421890259,3,4,500.0
41,80.0,1,1770,1440,1440,0,False,10914.167474746704,7.5792829685741,6.82821798324585,3,4,500.0
42,85.0,0,1040,722,722,0,False,5738.877865046263,7.9485843006180925,7.048541784286499,4,4,500.0
43,85.0,1,2705,2036,2036,0,False,28462.659852057695,13.979695408672738,10.395699977874756,5,8,500.0
44,90.0,0,1022,684,684,0,False,7732.119502037764,11.304268277832987,10.796428084373474,2,6,500.0
45,90.0,1,139,88,88,0,False,947.8314656317234,10.770812109451402,10.463908433914185,2,3,500.0
46,90.0,2,1399,932,932,0,False,11155.352484941483,11.969262322898587,10.625563025474548,3,7,500.0
47,95.0,0,271,108,108,0,False,1660.3241012096405,15.37337130749667,16.44613289833069,2,3,500.0
48,95.0,1,403,238,238,0,False,3907.9003047943115,16.419749179808033,17.579485654830933,1,1,500.0
49,95.0,2,139,78,78,0,False,1311.6204495429993,16.81564678901281,15.982786417007446,2,4,500.0
50,95.0,3,245,168,168,0,False,3274.091208934784,19.488638148421334,20.678223609924316,1,1,500.0
51,95.0,4,215,132,132,0,False,2782.001021385193,21.075765313524187,18.942235946655273,1,3,500.0
0,5.0,0,650,540,540,0,False,5888.69460940361,10.904990017414093,11.092442512512207,1,1,850.0
